"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2022-10-12","10,417.10","10,437.00","10,494.53","10,372.21","823.61M","-0.09%"
"2022-10-11","10,426.19","10,484.37","10,608.84","10,351.98","990.74M","-1.10%"
"2022-10-10","10,542.10","10,659.95","10,669.93","10,449.04","812.52M","-1.04%"
"2022-10-7","10,652.41","10,877.28","10,891.93","10,608.52","1.03B","-3.80%"
"2022-10-6","11,073.31","11,129.04","11,230.44","11,051.27","873.35M","-0.68%"
"2022-10-5","11,148.64","11,022.67","11,210.32","10,910.76","830.23M","-0.25%"
"2022-10-4","11,176.41","11,054.72","11,189.96","11,044.04","1.02B","3.34%"
"2022-10-3","10,815.43","10,659.01","10,875.46","10,577.89","943.34M","2.27%"
"2022-9-30","10,575.62","10,697.71","10,883.04","10,572.33","1.10B","-1.51%"
"2022-9-29","10,737.51","10,894.44","10,899.47","10,623.22","971.92M","-2.84%"
"2022-9-28","11,051.64","10,817.53","11,101.50","10,776.34","953.34M","2.05%"
"2022-9-27","10,829.50","10,955.29","11,040.99","10,741.02","903.37M","0.25%"
"2022-9-26","10,802.92","10,833.38","11,024.00","10,789.05","949.63M","-0.60%"
"2022-9-23","10,867.93","10,952.69","10,958.29","10,732.72","1.00B","-1.80%"
"2022-9-22","11,066.80","11,167.38","11,203.77","11,024.64","934.35M","-1.37%"
"2022-9-21","11,220.19","11,466.21","11,613.57","11,219.00","909.35M","-1.79%"
"2022-9-20","11,425.05","11,440.14","11,520.99","11,343.72","861.66M","-0.95%"
"2022-9-19","11,535.02","11,338.57","11,538.13","11,337.83","932.68M","0.76%"
"2022-9-16","11,448.40","11,401.21","11,460.43","11,316.92","3.05B","-0.90%"
"2022-9-15","11,552.36","11,633.24","11,760.73","11,497.11","1.03B","-1.43%"
"2022-9-14","11,719.68","11,680.41","11,746.83","11,602.76","1.05B","0.74%"
"2022-9-13","11,633.57","11,908.81","11,957.97","11,604.43","1.10B","-5.16%"
"2022-9-12","12,266.41","12,174.94","12,270.19","12,169.28","845.28M","1.27%"
"2022-9-9","12,112.31","11,958.61","12,132.67","11,958.61","881.47M","2.11%"
"2022-9-8","11,862.13","11,679.86","11,896.73","11,660.53","875.83M","0.60%"
"2022-9-7","11,791.90","11,559.38","11,819.07","11,555.08","897.12M","2.14%"
"2022-9-6","11,544.91","11,643.03","11,679.43","11,471.50","945.53M","-0.74%"
"2022-9-2","11,630.86","11,899.14","11,945.91","11,573.51","868.07M","-1.31%"
"2022-9-1","11,785.13","11,707.44","11,798.37","11,546.52","974.17M","-0.26%"
"2022-8-31","11,816.20","11,972.56","12,027.43","11,814.17","1.16B","-0.56%"
"2022-8-30","11,883.14","12,093.06","12,101.85","11,790.03","896.27M","-1.12%"
"2022-8-29","12,017.67","12,021.05","12,124.87","11,981.42","798.39M","-1.02%"
"2022-8-26","12,141.71","12,630.58","12,655.84","12,141.52","960.49M","-3.94%"
"2022-8-25","12,639.26","12,506.37","12,641.26","12,471.98","797.23M","1.67%"
"2022-8-24","12,431.53","12,375.15","12,504.33","12,350.16","770.65M","0.41%"
"2022-8-23","12,381.30","12,380.37","12,490.86","12,352.03","763.64M","0.00%"
"2022-8-22","12,381.57","12,523.16","12,538.55","12,353.73","857.72M","-2.55%"
"2022-8-19","12,705.21","12,832.27","12,859.01","12,674.87","998.67M","-2.01%"
"2022-8-18","12,965.34","12,937.79","13,002.66","12,873.49","865.17M","0.21%"
"2022-8-17","12,938.12","12,968.63","13,053.51","12,863.01","977.81M","-1.25%"
"2022-8-16","13,102.55","13,082.64","13,181.09","12,979.24","952.79M","-0.19%"
"2022-8-15","13,128.05","12,996.63","13,146.06","12,993.78","862.20M","0.62%"
"2022-8-12","13,047.19","12,866.31","13,047.19","12,821.22","936.39M","2.09%"
"2022-8-11","12,779.91","12,944.82","13,026.24","12,760.09","1.08B","-0.58%"
"2022-8-10","12,854.80","12,793.44","12,861.44","12,698.61","1.05B","2.89%"
"2022-8-9","12,493.93","12,557.49","12,582.91","12,438.86","1.02B","-1.19%"
"2022-8-8","12,644.46","12,703.72","12,855.16","12,597.75","1.00B","-0.10%"
"2022-8-5","12,657.55","12,538.80","12,720.44","12,525.77","991.77M","-0.50%"
"2022-8-4","12,720.58","12,675.04","12,736.19","12,600.78","1.05B","0.41%"
"2022-8-3","12,668.16","12,433.87","12,699.64","12,425.21","1.10B","2.59%"
"2022-8-2","12,348.76","12,287.67","12,503.34","12,260.48","902.82M","-0.16%"
"2022-8-1","12,368.98","12,317.96","12,499.72","12,271.98","891.53M","-0.18%"
"2022-7-29","12,390.69","12,239.69","12,426.26","12,181.13","1.10B","1.88%"
"2022-7-28","12,162.59","12,036.48","12,179.09","11,886.67","958.80M","1.08%"
"2022-7-27","12,032.42","11,756.19","12,081.73","11,718.38","939.31M","4.06%"
"2022-7-26","11,562.58","11,701.53","11,711.31","11,533.37","834.49M","-1.87%"
"2022-7-25","11,782.67","11,837.96","11,855.11","11,707.53","783.12M","-0.43%"
"2022-7-22","11,834.11","12,025.37","12,093.02","11,767.19","884.72M","-1.87%"
"2022-7-21","12,059.61","11,914.15","12,060.59","11,812.72","840.81M","1.36%"
"2022-7-20","11,897.65","11,726.09","11,939.96","11,703.36","1.01B","1.58%"
"2022-7-19","11,713.15","11,515.00","11,721.22","11,448.97","974.15M","3.11%"
"2022-7-18","11,360.05","11,561.64","11,629.03","11,322.84","922.80M","-0.81%"
"2022-7-15","11,452.42","11,379.36","11,454.69","11,295.33","947.43M","1.79%"
"2022-7-14","11,251.18","11,151.21","11,279.97","11,005.93","817.49M","0.03%"
"2022-7-13","11,247.58","11,056.55","11,325.67","11,031.27","812.60M","-0.15%"
"2022-7-12","11,264.73","11,420.89","11,483.17","11,207.08","836.73M","-0.95%"
"2022-7-11","11,372.60","11,524.49","11,541.10","11,348.06","844.13M","-2.26%"
"2022-7-8","11,635.31","11,503.61","11,689.70","11,479.77","820.69M","0.12%"
"2022-7-7","11,621.35","11,422.60","11,644.47","11,412.88","916.26M","2.28%"
"2022-7-6","11,361.85","11,337.90","11,443.14","11,250.32","933.39M","0.35%"
"2022-7-5","11,322.24","10,964.18","11,323.89","10,911.45","1.07B","1.75%"
"2022-7-1","11,127.84","11,006.83","11,132.55","10,922.71","930.71M","0.90%"
"2022-6-30","11,028.74","11,048.25","11,160.92","10,850.01","1.16B","-1.33%"
"2022-6-29","11,177.89","11,160.22","11,226.33","11,072.19","1.02B","-0.03%"
"2022-6-28","11,181.54","11,542.24","11,635.86","11,177.68","1.02B","-2.98%"
"2022-6-27","11,524.55","11,661.02","11,677.49","11,487.07","991.61M","-0.72%"
"2022-6-24","11,607.62","11,351.31","11,613.23","11,337.78","4.31B","3.34%"
"2022-6-23","11,232.19","11,137.68","11,260.27","11,046.29","1.03B","1.62%"
"2022-6-22","11,053.08","10,941.95","11,216.77","10,938.06","1.11B","-0.15%"
"2022-6-21","11,069.30","10,974.05","11,164.99","10,974.05","1.19B","2.51%"
"2022-6-17","10,798.35","10,697.55","10,884.71","10,638.72","2.80B","1.43%"
"2022-6-16","10,646.10","10,806.02","10,831.07","10,565.13","1.25B","-4.08%"
"2022-6-15","11,099.16","10,968.40","11,244.26","10,866.39","1.22B","2.50%"
"2022-6-14","10,828.34","10,897.43","10,926.81","10,733.04","953.68M","0.18%"
"2022-6-13","10,809.22","10,986.84","11,071.48","10,775.14","1.21B","-4.68%"
"2022-6-10","11,340.02","11,543.88","11,569.15","11,328.27","1.06B","-3.52%"
"2022-6-9","11,754.23","12,016.47","12,115.07","11,751.98","998.87M","-2.75%"
"2022-6-8","12,086.27","12,147.28","12,235.78","12,052.70","911.77M","-0.73%"
"2022-6-7","12,175.23","11,925.81","12,194.86","11,888.62","900.55M","0.94%"
"2022-6-6","12,061.37","12,200.33","12,245.40","12,004.20","911.01M","0.40%"
"2022-6-3","12,012.73","12,097.12","12,167.44","11,966.62","837.59M","-2.47%"
"2022-6-2","12,316.90","11,945.57","12,320.12","11,901.45","916.66M","2.69%"
"2022-6-1","11,994.46","12,176.89","12,237.93","11,901.43","940.60M","-0.72%"
"2022-5-31","12,081.39","12,137.54","12,190.08","11,942.50","1.77B","-0.41%"
"2022-5-27","12,131.13","11,869.69","12,131.66","11,856.82","942.22M","3.33%"
"2022-5-26","11,740.65","11,409.84","11,796.97","11,406.16","930.42M","2.68%"
"2022-5-25","11,434.74","11,225.03","11,511.90","11,211.85","907.18M","1.51%"
"2022-5-24","11,264.45","11,326.44","11,351.61","11,092.48","924.23M","-2.35%"
"2022-5-23","11,535.28","11,396.28","11,552.07","11,304.56","889.21M","1.59%"
"2022-5-20","11,354.62","11,542.67","11,552.21","11,035.69","1.20B","-0.30%"
"2022-5-19","11,388.50","11,364.40","11,562.82","11,313.31","1.05B","-0.26%"
"2022-5-18","11,418.15","11,790.68","11,826.22","11,381.69","1.03B","-4.73%"
"2022-5-17","11,984.52","11,905.57","11,988.43","11,754.28","1.02B","2.76%"
"2022-5-16","11,662.79","11,727.14","11,804.59","11,627.53","978.06M","-1.20%"
"2022-5-13","11,805.00","11,555.97","11,856.71","11,510.25","1.23B","3.82%"
"2022-5-12","11,370.96","11,199.25","11,547.33","11,108.76","1.40B","0.06%"
"2022-5-11","11,364.24","11,645.57","11,844.50","11,339.18","1.27B","-3.18%"
"2022-5-10","11,737.67","11,900.34","11,944.94","11,566.28","1.28B","0.98%"
"2022-5-9","11,623.25","11,923.03","11,990.61","11,574.94","1.24B","-4.29%"
"2022-5-6","12,144.66","12,246.83","12,358.42","11,990.15","1.09B","-1.40%"
